block_id,document_id,source_path,block_type,neighbor_majority_block_type,neighbor_majority_share,nearest_neighbor_distance,row_key,quality_status,text_preview
architecture-block-10,architecture,data/raw/docs/architecture.md,list_item,structured_fact,1.0,0.0,,LOW_QUALITY,- `section_path`
architecture-block-12,architecture,data/raw/docs/architecture.md,list_item,structured_fact,1.0,0.0,,LOW_QUALITY,- `text`
architecture-block-13,architecture,data/raw/docs/architecture.md,list_item,structured_fact,1.0,0.0,,LOW_QUALITY,- `source_path`
architecture-block-14,architecture,data/raw/docs/architecture.md,list_item,structured_fact,1.0,0.0,,LOW_QUALITY,- `anchors`
architecture-block-15,architecture,data/raw/docs/architecture.md,list_item,structured_fact,1.0,0.0,,LOW_QUALITY,- `metadata`
congo__629-block-14,congo__629,data/raw/congo__629.md,narrative,structured_fact,1.0,0.0,,LOW_QUALITY,[congo] ---
dominica_dm-block-55,dominica_dm,data/raw/dominica_dm.md,table_fact,structured_fact,1.0,0.0,---,ok,"For dominica, the --- is: ---."
monaco_mc-block-42,monaco_mc,data/raw/monaco_mc.md,table_fact,structured_fact,1.0,0.0,MCC,ok,"For monaco, the MCC is: 212."
roadmap-block-36,roadmap,data/raw/docs/roadmap.md,list_item,structured_fact,1.0,0.0,,LOW_QUALITY,- `hypothetical_questions`
roadmap-block-38,roadmap,data/raw/docs/roadmap.md,list_item,structured_fact,1.0,0.0,,LOW_QUALITY,- `answer_signal`
roadmap-block-7,roadmap,data/raw/docs/roadmap.md,narrative,structured_fact,1.0,0.0,,LOW_QUALITY,[Goal] ---
roadmap-block-90,roadmap,data/raw/docs/roadmap.md,narrative,structured_fact,1.0,0.0,,LOW_QUALITY,[Deferred] ---
ecuador_ec-block-9,ecuador_ec,data/raw/ecuador_ec.json,structured_fact,table_fact,1.0,0.0242,Twilio concatenated message support,ok,- Twilio concatenated message support: Description=Concatenation refers to the capability of splitting a message that is too long to be sent in one SMS into smaller pieces and the...
sweden_se-block-29,sweden_se,data/raw/sweden_se.md,table_fact,narrative,1.0,0.04,Lottery,ok,"For Phone Numbers & Sender ID: Long codes and short codes, the Lottery is: ---."
equatorial_guinea_gq-block-10,equatorial_guinea_gq,data/raw/equatorial_guinea_gq.json,structured_fact,table_fact,1.0,0.0501,Message length,ok,- Message length: Description=How many characters can be sent given a particular message encoding before the message will be split into concatenated segments.; Value=Message lengt...
roadmap-block-21,roadmap,data/raw/docs/roadmap.md,narrative,structured_fact,1.0,0.0551,,LOW_QUALITY,[Current Phase] ---
anguilla_ai-block-39,anguilla_ai,data/raw/anguilla_ai.md,narrative,table_fact,1.0,0.0577,,LOW_QUALITY,[Anguilla] ---
venezuela_ve-block-50,venezuela_ve,data/raw/venezuela_ve.md,narrative,table_fact,1.0,0.0577,,LOW_QUALITY,[Venezuela] ---
sweden_se-block-30,sweden_se,data/raw/sweden_se.md,table_fact,narrative,1.0,0.0599,Adult Content,ok,"For Phone Numbers & Sender ID: Long codes and short codes, the Adult Content is: ---."
sweden_se-block-60,sweden_se,data/raw/sweden_se.md,policy_rule,table_fact,1.0,0.0675,Sender provisioning,ok,"For sweden, the Sender provisioning is: Sender registration is mandatory. The sender registration process can take up to 3 days.."
kuwait_kw-block-55,kuwait_kw,data/raw/kuwait_kw.md,policy_rule,table_fact,1.0,0.0894,Sender provisioning,ok,"For kuwait, the Sender provisioning is: Sender registration is mandatory. The average sender registration process time depends solely on network providers. Usually lasts up to 7 d..."
architecture-block-17,architecture,data/raw/docs/architecture.md,list_item,structured_fact,1.0,0.1056,,LOW_QUALITY,- parser/normalizer provenance
architecture-block-19,architecture,data/raw/docs/architecture.md,list_item,structured_fact,1.0,0.1056,,LOW_QUALITY,- semantic intent
architecture-block-57,architecture,data/raw/docs/architecture.md,list_item,structured_fact,1.0,0.1056,,LOW_QUALITY,- retrieval recall
