document_id,block_id,block_type,text_length,block_type_p90,block_type_p95,is_p95_outlier,long_policy_or_narrative,document_failure_count,document_citation_failures,document_synthesis_failures,quality_status,tags,text_preview
united_states_us,united_states_us-block-23,table_fact,1692,308,350,True,False,9,0,0,ok,long code; short code; mms; sms; Use case restrictions; matrix,Regarding Phone Numbers & Sender ID: Long codes and short codes for Use case restrictions: the Long code domestic is Loan Advertisements - Third Party Lenders “Get rich quick” schemes Work from Home ProgramsSecret Sho...
united_states_us,united_states_us-block-26,structured_fact,1640,409,524,True,False,9,0,0,ok,long code; short code; mms; sms; Use case restrictions,- Use case restrictions: Long code domestic=Loan Advertisements - Third Party Lenders “Get rich quick” schemes Work from Home ProgramsSecret ShopperThird Party Job AlertsRisk Investment Opportunities Illegal substance...
united_states_us,united_states_us-block-13,structured_fact,1586,409,524,True,False,9,0,0,ok,long code; short code; Compliance considerations,- Compliance considerations: Description=Twilio strongly encourages customers to review proposed use cases with qualified legal counsel to make sure that they comply with all applicable laws. This table lists some gen...
united_states_us,united_states_us-block-13,policy_rule,1392,642,944,True,True,9,0,0,ok,long code; short code; Compliance considerations; key_value,"For Guidelines, the Compliance considerations is: Twilio’s customers, including their end users and clients, must comply with applicable laws, regulations, Twilio's policies, including, but not limited, to the Twilio..."
united_states_us,united_states_us-block-43,policy_rule,835,642,944,False,True,9,0,0,ok,Country restrictions; key_value,"For united-states, the Country restrictions is: Prohibited content - SPAM - Fraudulent or misleading messages - Depictions or endorsement of violence - Inappropriate content - Profanity or hate speech - Endorsement of..."
united_states_us,united_states_us-block-29,table_fact,800,308,350,True,False,9,0,0,ok,mms; sms; Use case restrictions; matrix,Regarding Phone Numbers & Sender ID: Toll Free for Use case restrictions: the Toll Free is High-Risk Financial Services Payday Loans Short Term- High Interest Loans Auto Loans Mortgage Loans Student Loans Debt Collect...
united_states_us,united_states_us-block-33,structured_fact,743,409,524,True,False,9,0,0,ok,mms; sms; Use case restrictions,- Use case restrictions: Toll Free=High-Risk Financial Services Payday Loans Short Term- High Interest Loans Auto Loans Mortgage Loans Student Loans Debt Collection Gambling/SweepstakesStock AlertsCryptocurrency Get R...
united_states_us,united_states_us-block-24,table_fact,613,308,350,True,False,9,0,0,ok,long code; short code; Best practices; matrix,Regarding Phone Numbers & Sender ID: Long codes and short codes for Best practices: the Long code domestic is Refer to our FAQ for long code best practices. Note: The euro symbol (€) is not supported; avoid using this...
united_states_us,united_states_us-block-27,structured_fact,525,409,524,True,False,9,0,0,ok,long code; short code; Best practices,- Best practices: Long code domestic=Refer to our FAQ for long code best practices. Note: The euro symbol (€) is not supported; avoid using this character in message submission toward the United States.; Long code int...
united_states_us,united_states_us-block-21,table_fact,433,308,350,True,False,9,0,0,ok,long code; short code; Sender ID preserved; matrix,Regarding Phone Numbers & Sender ID: Long codes and short codes for Sender ID preserved: the Description is In some countries sender IDs for certain sender types are not preserved and are changed for compliance and/or...
united_states_us,united_states_us-block-22,table_fact,393,308,350,True,False,9,0,0,ok,long code; short code; pre-registration; provisioning time; Provisioning time; matrix,Regarding Phone Numbers & Sender ID: Long codes and short codes for Provisioning time: the Description is Provisioning is the process of getting the sender ID approved and registered with mobile networks (depending on...
united_states_us,united_states_us-block-16,table_fact,377,308,350,True,False,9,0,0,ok,alphanumeric sender id; pre-registration; Sender ID preserved; matrix,Regarding Phone Numbers & Sender ID: Alphanumeric for Sender ID preserved: the Description is In some countries sender IDs for certain sender types are not preserved and are changed for compliance and/or deliverabilit...
united_states_us,united_states_us-block-1,narrative,75,74,83,False,True,9,0,0,ok,sms,[United States (US)] Source: https://www.twilio.com/en-us/guidelines/us/sms
india_in,india_in-block-13,structured_fact,2026,409,524,True,False,5,1,2,ok,alphanumeric sender id; short code; pre-registration; sms; Compliance considerations,- Compliance considerations: Description=Twilio strongly encourages customers to review proposed use cases with qualified legal counsel to make sure that they comply with all applicable laws. This table lists some gen...
india_in,india_in-block-13,policy_rule,1832,642,944,True,True,5,1,2,ok,alphanumeric sender id; short code; pre-registration; sms; Compliance considerations; key_value,"For Guidelines, the Compliance considerations is: Twilio offers SMS delivery to India through both International and Domestic gateways. International: No DLT registration is required.Messages are transmitted via mobil..."
saudi_arabia_sa,saudi_arabia_sa-block-13,structured_fact,1806,409,524,True,False,5,1,0,ok,alphanumeric sender id; pre-registration; sms; whatsapp; Compliance considerations,- Compliance considerations: Description=Twilio strongly encourages customers to review proposed use cases with qualified legal counsel to make sure that they comply with all applicable laws. This table lists some gen...
saudi_arabia_sa,saudi_arabia_sa-block-13,policy_rule,1612,642,944,True,True,5,1,0,ok,alphanumeric sender id; pre-registration; sms; whatsapp; Compliance considerations; key_value,"For Guidelines, the Compliance considerations is: Saudi Arabian networks have implemented strong filtering that blocks messages coming from Numeric Sender IDs, messages that contain objectionable content, and messages..."
indonesia_id,indonesia_id-block-13,structured_fact,1380,409,524,True,False,5,1,1,ok,pre-registration; sms; Compliance considerations,- Compliance considerations: Description=Twilio strongly encourages customers to review proposed use cases with qualified legal counsel to make sure that they comply with all applicable laws. This table lists some gen...
saudi_arabia_sa,saudi_arabia_sa-block-19,policy_rule,1374,642,944,True,True,5,1,0,ok,alphanumeric sender id; pre-registration; Use case restrictions; matrix,"Regarding Phone Numbers & Sender ID: Alphanumeric for Use case restrictions: the International Pre-registration is Starting from April of 2024, the network MOBILY has stopped supporting Promotional Sender ID Registrat..."
saudi_arabia_sa,saudi_arabia_sa-block-19,structured_fact,1320,409,524,True,False,5,1,0,ok,alphanumeric sender id; pre-registration; Use case restrictions,"- Use case restrictions: International Pre-registration=Starting from April of 2024, the network MOBILY has stopped supporting Promotional Sender ID Registration. Twilio will continue supporting this type of Registrat..."
indonesia_id,indonesia_id-block-19,policy_rule,1302,642,944,True,True,5,1,1,ok,alphanumeric sender id; pre-registration; sms; Use case restrictions; matrix,Regarding Phone Numbers & Sender ID: Alphanumeric for Use case restrictions: the International Pre-registration is Please refrain from requesting generic alphanumeric sender IDs to avoid being blocked by network opera...
indonesia_id,indonesia_id-block-19,structured_fact,1228,409,524,True,False,5,1,1,ok,alphanumeric sender id; pre-registration; sms; Use case restrictions,- Use case restrictions: International Pre-registration=Please refrain from requesting generic alphanumeric sender IDs to avoid being blocked by network operators. Messages must not contain: SPAM-related materials.Any...
indonesia_id,indonesia_id-block-13,policy_rule,1186,642,944,True,True,5,1,1,ok,pre-registration; sms; Compliance considerations; key_value,"For Guidelines, the Compliance considerations is: All SMS messages sent via domestic Sender IDs to Indonesia must include a brand name, service program, or community in the message body in order to avoid rejection of..."
indonesia_id,indonesia_id-block-20,table_fact,845,308,350,True,False,5,1,1,ok,alphanumeric sender id; pre-registration; sms; Best practices; matrix,"Regarding Phone Numbers & Sender ID: Alphanumeric for Best practices: the International Pre-registration is Separate procedures are in place for registering Domestic and International Sender IDs, this may require diff..."
indonesia_id,indonesia_id-block-20,structured_fact,771,409,524,True,False,5,1,1,ok,alphanumeric sender id; pre-registration; sms; Best practices,"- Best practices: International Pre-registration=Separate procedures are in place for registering Domestic and International Sender IDs, this may require different documents to be submitted. The major Indonesian netwo..."
saudi_arabia_sa,saudi_arabia_sa-block-20,policy_rule,768,642,944,False,True,5,1,0,ok,alphanumeric sender id; pre-registration; Best practices; matrix,Regarding Phone Numbers & Sender ID: Alphanumeric for Best practices: the International Pre-registration is URLs in the message content must first be allowlisted. Sending messages with URLs without adding them to an a...
saudi_arabia_sa,saudi_arabia_sa-block-20,structured_fact,732,409,524,True,False,5,1,0,ok,alphanumeric sender id; pre-registration; Best practices,- Best practices: International Pre-registration=URLs in the message content must first be allowlisted. Sending messages with URLs without adding them to an allowlist may result in delivery failure. If the requested S...
india_in,india_in-block-57,table_fact,618,308,350,True,False,5,1,2,ok,Country regulations; key_value,"For india, the Country regulations is: Local regulation additional inputs: transactional traffic alpha senders, promo traffic numeric senders. Transactional senders to be separated more strictly to OTP, transactional,..."
india_in,india_in-block-16,table_fact,601,308,350,True,False,5,1,2,ok,alphanumeric sender id; pre-registration; Sender ID preserved; matrix,Regarding Phone Numbers & Sender ID: Alphanumeric for Sender ID preserved: the Description is In some countries sender IDs for certain sender types are not preserved and are changed for compliance and/or deliverabilit...
indonesia_id,indonesia_id-block-26,structured_fact,564,409,524,True,False,5,1,1,ok,alphanumeric sender id; long code; short code; pre-registration; Use case restrictions,- Use case restrictions: Long code domestic=N/A; Long code international=Delivery of messages submitted with Numeric Sender IDs is on a best-effort basis and will be overwritten with either random Numeric or Alphanume...
india_in,india_in-block-16,structured_fact,563,409,524,True,False,5,1,2,ok,alphanumeric sender id; pre-registration; Sender ID preserved,- Sender ID preserved: Description=In some countries sender IDs for certain sender types are not preserved and are changed for compliance and/or deliverability reasons. In these countries mobile subscribers will see a...
saudi_arabia_sa,saudi_arabia_sa-block-62,table_fact,473,308,350,True,False,5,1,0,ok,Country restrictions; key_value,"For saudi-arabia, the Country restrictions is: Gambling, betting, SPAM, loan traffic, crypto, Forex, and adult content is likely to be blocked by the Saudi Arabian operators. URL shorteners (bit.ly, goo.gl etc) are st..."
indonesia_id,indonesia_id-block-23,table_fact,431,308,350,True,False,5,1,1,ok,long code; short code; Sender ID preserved; matrix,Regarding Phone Numbers & Sender ID: Long codes and short codes for Sender ID preserved: the Description is In some countries sender IDs for certain sender types are not preserved and are changed for compliance and/or...
indonesia_id,indonesia_id-block-16,table_fact,430,308,350,True,False,5,1,1,ok,alphanumeric sender id; pre-registration; Sender ID preserved; matrix,Regarding Phone Numbers & Sender ID: Alphanumeric for Sender ID preserved: the Description is In some countries sender IDs for certain sender types are not preserved and are changed for compliance and/or deliverabilit...
india_in,india_in-block-22,table_fact,400,308,350,True,False,5,1,2,ok,long code; short code; SenderID Preserved; matrix,Regarding Phone Numbers & Sender ID: Long codes and short codes for SenderID Preserved: the Description is In some countries sender IDs for certain sender types are not presered adn are changed for compliance and/or d...
