policy,threshold,holdout_row,source_index,predicted_failure_probability,question_type,iso_code,country,failure_stage,failure_reasons,retrieval_hit,evidence_hit,citation_hit,answer_correct,question,answer_preview
f1_optimal,0.897237,28,2634,0.63128,policy_rule,AE,United Arab Emirates,answer_synthesis,answer did not express expected terms,True,True,True,False,What service restrictions apply to SMS in United Arab Emirates?,"United Arab Emirates requires sender registration is required. The needed documentation depends on traffic original and network. Before you start sending messages towards United Arab Emirates, contact your dedicated a..."
f1_optimal,0.897237,46,1994,0.016824,procedural,PL,Poland,answer_synthesis,answer did not express expected terms,True,True,True,False,What is the sender provisioning process in Poland?,Poland requires sender registration: Registration is required for some connections.
f1_optimal,0.897237,107,2732,0.874979,policy_rule,VN,Vietnam,answer_synthesis,answer did not express expected terms,True,True,True,False,What service restrictions apply to SMS in Vietnam?,"Vietnam requires sender registration: Sender ID registration is required by all operators for local and international brands, for all traffic types. Registration demands more time and documentation than usual."
f1_optimal,0.897237,198,2143,0.662456,binary,SA,Saudi Arabia,citation,returned citations did not match the expected source anchor,True,True,False,False,Does Saudi Arabia support alphanumeric sender IDs?,"Yes. In SAUDI ARABIA, the `UCS-2 support` row says `the International Pre-registration is Supported`."
f1_optimal,0.897237,216,1530,0.833713,policy_rule,MY,Malaysia,answer_synthesis,answer did not express expected terms,True,True,True,False,What compliance considerations apply to SMS in Malaysia?,"For Guidelines, the Compliance considerations is: Domestic and International Routing Options Twilio supports SMS delivery to Malaysia through both International and Domestic gateways. For domestic customers, registrat..."
f1_optimal,0.897237,219,2571,0.147524,binary,TC,Turks And Caicos Islands,citation,returned citations did not match the expected source anchor,True,True,False,False,Does Turks and Caicos Islands support alphanumeric sender IDs?,"Yes. In Turks and Caicos Islands, alphanumeric sender IDs are supported; the `Twilio supported` row says `Dynamic=Supported Learn more`."
f1_optimal,0.897237,241,1123,0.608983,procedural,IN,India,answer_synthesis,answer did not express expected terms,True,True,True,False,What is the sender provisioning process in India?,"For india, the Sender provisioning is: Local sender registration only, covered in the Country regulation. The sender must be registered with the local MNO (DLT provider). Besides the sender, Principal Entity and Conte..."
f1_optimal,0.897237,250,2241,0.88403,binary,SI,Slovenia,answer_synthesis,answer did not express expected terms,True,True,True,False,Does Slovenia support alphanumeric sender IDs?,"Yes. In SLOVENIA, alphanumeric sender IDs are preserved; the `Sender ID preserved` row says `Yes`."
f1_optimal,0.897237,291,1221,0.348041,factoid,JM,Jamaica,answer_synthesis,answer did not express expected terms,True,True,True,False,What is the dialing code for Jamaica?,Jamaica's dialing code is +1658.
f1_optimal,0.897237,310,151,0.805074,binary,AU,Australia,citation,returned citations did not match the expected source anchor,True,True,False,False,Does Australia support alphanumeric sender IDs?,[Australia] Additional Notes : Registration required for Alphanumeric Sender IDs
f1_optimal,0.897237,321,2779,0.427984,table_extraction,CA,Canada,retrieval,expected section context was not retrieved,True,False,False,False,Is two-way SMS supported for toll-free numbers in Canada?,Yes. Two-way messaging is supported in Canada; the `Two-way SMS supported` row says `Yes`.
f1_optimal,0.897237,337,1705,0.621421,policy_rule,MZ,Mozambique,answer_synthesis,answer did not express expected terms,True,True,True,False,What service restrictions apply to SMS in Mozambique?,"Mozambique requires sender registration is required. Before you start sending any content towards Mozambique for the first time, contact your dedicated account manager or Support so they can set up a specific route fo..."
f1_optimal,0.897237,420,695,0.096694,capability,DM,Dominica,answer_synthesis,answer did not express expected terms,True,True,True,False,What sender types are available in Dominica?,"For dominica, the Sender availability is: Alpha."
f1_optimal,0.897237,467,1257,0.588365,sender_type_policy,JE,Jersey,answer_synthesis,answer did not express expected terms,True,True,True,False,Are long-code sender IDs preserved in Jersey?,"In Jersey, regarding Phone Numbers & Sender ID: Long codes and short codes for Sender ID preserved: the Description is In some countries sender IDs for certain sender types are not preserved and are changed for compli..."
recall_0.90,0.427984,46,1994,0.016824,procedural,PL,Poland,answer_synthesis,answer did not express expected terms,True,True,True,False,What is the sender provisioning process in Poland?,Poland requires sender registration: Registration is required for some connections.
recall_0.90,0.427984,219,2571,0.147524,binary,TC,Turks And Caicos Islands,citation,returned citations did not match the expected source anchor,True,True,False,False,Does Turks and Caicos Islands support alphanumeric sender IDs?,"Yes. In Turks and Caicos Islands, alphanumeric sender IDs are supported; the `Twilio supported` row says `Dynamic=Supported Learn more`."
recall_0.90,0.427984,291,1221,0.348041,factoid,JM,Jamaica,answer_synthesis,answer did not express expected terms,True,True,True,False,What is the dialing code for Jamaica?,Jamaica's dialing code is +1658.
recall_0.90,0.427984,420,695,0.096694,capability,DM,Dominica,answer_synthesis,answer did not express expected terms,True,True,True,False,What sender types are available in Dominica?,"For dominica, the Sender availability is: Alpha."
